"Tidstämpel","Gender","Age","Employment","What do you exercise?","How often do you workout? (days a week)","How much time do you spend on each workout?","Do you workout with a partner?","Why do you workout?"
"2018/03/09 3:50:11 em CET","Female","40+","Student/Academics","Other","1-2","0-1 hours","No","Combination of above"
"2018/03/09 3:51:40 em CET","Male","40+","IT/Tech/Engineering","Other","1-2","1-2 hours","No","Combination of above"
"2018/03/09 3:54:23 em CET","Male","20-24","Student/Academics","Mix of exercises","3-4","0-1 hours","No","Health"
"2018/03/09 3:58:26 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 4:06:11 em CET","Female","20-24","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","0-1 hours","No","Combination of above"
"2018/03/09 4:16:40 em CET","Male","20-24","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","3-4","0-1 hours","No","Combination of above"
"2018/03/09 4:24:29 em CET","Male","20-24","Student/Academics","Running","1-2","1-2 hours","No","Combination of above"
"2018/03/09 4:25:00 em CET","Other","20-24","Student/Academics","Gym","1-2","1-2 hours","No","Health"
"2018/03/09 4:25:56 em CET","Female","30-34","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","1-2 hours","No","Combination of above"
"2018/03/09 4:28:08 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 4:33:52 em CET","Male","40+","IT/Tech/Engineering","Gym","3-4","0-1 hours","No","Health"
"2018/03/09 4:39:34 em CET","Female","40+","Student/Academics","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/09 4:47:39 em CET","Male","40+","Student/Academics","Other","1-2","1-2 hours","No","Health"
"2018/03/09 5:01:56 em CET","Male","25-29","Student/Academics","Other","1-2","2-3 hours","Yes","Combination of above"
"2018/03/09 5:03:02 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","1-2","1-2 hours","No","Combination of above"
"2018/03/09 5:12:43 em CET","Male","20-24","Student/Academics","Gym","5+","1-2 hours","No","Combination of above"
"2018/03/09 5:31:36 em CET","Female","25-29","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","1-2 hours","No","Combination of above"
"2018/03/09 5:39:32 em CET","Male","35-39","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 6:04:47 em CET","Male","30-34","IT/Tech/Engineering","Gym","1-2","0-1 hours","Yes","Health"
"2018/03/09 6:18:44 em CET","Female","25-29","Student/Academics","Gym","1-2","1-2 hours","Yes","Enjoyment"
"2018/03/09 6:24:48 em CET","Male","35-39","Service/Restaurant","Other","3-4","2-3 hours","No","None of above"
"2018/03/09 6:31:48 em CET","Female","20-24","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 6:32:56 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","1-2","1-2 hours","No","Enjoyment"
"2018/03/09 6:45:16 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 6:52:52 em CET","Male","20-24","Unemployed","Mix of exercises","5+","1-2 hours","No","Combination of above"
"2018/03/09 7:00:53 em CET","Female","25-29","Student/Academics","Gym","1-2","0-1 hours","No","Apperance"
"2018/03/09 7:02:10 em CET","Male","35-39","IT/Tech/Engineering","Gym","1-2","0-1 hours","No","Health"
"2018/03/09 7:07:17 em CET","Female","25-29","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 7:08:16 em CET","Male","35-39","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","0-1 hours","No","Combination of above"
"2018/03/09 7:17:35 em CET","Female","20-24","Student/Academics","Mix of exercises","1-2","0-1 hours","No","Apperance"
"2018/03/09 7:35:50 em CET","Male","20-24","Student/Academics","Mix of exercises","3-4","0-1 hours","No","Health"
"2018/03/09 7:50:41 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","Yes","I don't workout"
"2018/03/09 8:11:04 em CET","Female","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 8:18:13 em CET","Female","35-39","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 8:24:51 em CET","Female","35-39","Student/Academics","Other","1-2","0-1 hours","No","Combination of above"
"2018/03/09 8:55:12 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","1-2","0-1 hours","No","Combination of above"
"2018/03/09 9:06:16 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 9:27:03 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/09 10:16:56 em CET","Female","40+","Other","Mix of exercises","1-2","0-1 hours","No","Health"
"2018/03/09 11:08:13 em CET","Male","35-39","IT/Tech/Engineering","Other","1-2","1-2 hours","Yes","Health"
"2018/03/09 11:14:36 em CET","Female","40+","Healthcare/Medicine","Mix of exercises","5+","0-1 hours","Yes","Combination of above"
"2018/03/09 11:34:50 em CET","Male","40+","IT/Tech/Engineering","Other","0","0-1 hours","No","Health"
"2018/03/10 12:04:20 fm CET","Female","40+","Service/Restaurant","Mix of exercises","1-2","0-1 hours","No","Health"
"2018/03/10 12:16:42 fm CET","Male","15-19","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 12:25:14 fm CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","None of above"
"2018/03/10 12:29:50 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 12:31:22 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 1:17:28 fm CET","Female","40+","Student/Academics","Gym","1-2","1-2 hours","Yes","Health"
"2018/03/10 2:01:40 fm CET","Male","40+","IT/Tech/Engineering","Running","1-2","0-1 hours","No","Combination of above"
"2018/03/10 6:45:20 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 6:57:01 fm CET","Male","40+","IT/Tech/Engineering","Other","1-2","1-2 hours","No","Health"
"2018/03/10 8:20:57 fm CET","Female","40+","Student/Academics","Other","3-4","0-1 hours","No","Combination of above"
"2018/03/10 8:33:07 fm CET","Female","40+","IT/Tech/Engineering","Other","3-4","1-2 hours","No","Health"
"2018/03/10 8:59:47 fm CET","Female","40+","IT/Tech/Engineering","Other","1-2","1-2 hours","No","Combination of above"
"2018/03/10 9:06:20 fm CET","Male","35-39","Other","Mix of exercises","5+","1-2 hours","No","Combination of above"
"2018/03/10 9:14:32 fm CET","Male","20-24","Student/Academics","Gym","3-4","1-2 hours","Yes","Combination of above"
"2018/03/10 9:56:34 fm CET","Female","20-24","Student/Academics","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","1-2 hours","Yes","Health"
"2018/03/10 10:29:26 fm CET","Male","40+","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 10:31:02 fm CET","Male","15-19","Student/Academics","Gym","3-4","1-2 hours","Yes","Combination of above"
"2018/03/10 11:14:41 fm CET","Female","40+","Other","Mix of exercises","3-4","1-2 hours","No","Health"
"2018/03/10 12:11:46 em CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/10 12:31:02 em CET","Male","30-34","IT/Tech/Engineering","Running","3-4","1-2 hours","No","Enjoyment"
"2018/03/10 12:38:09 em CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/10 12:42:14 em CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/10 12:48:13 em CET","Male","20-24","Student/Academics","Other","5+","0-1 hours","Yes","Health"
"2018/03/10 2:17:11 em CET","Male","15-19","Student/Academics","Gym","3-4","1-2 hours","No","Combination of above"
"2018/03/10 2:33:17 em CET","Male","35-39","IT/Tech/Engineering","Other","3-4","1-2 hours","Yes","Enjoyment"
"2018/03/10 2:49:07 em CET","Female","40+","Healthcare/Medicine","Other","3-4","1-2 hours","No","Combination of above"
"2018/03/10 2:58:37 em CET","Female","30-34","Other","Fitness classes (e.g. spinning, yoga, bodypump)","3-4","1-2 hours","No","Combination of above"
"2018/03/10 3:06:03 em CET","Male","40+","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 4:04:15 em CET","Female","20-24","Student/Academics","Other","1-2","1-2 hours","Yes","Combination of above"
"2018/03/10 4:05:59 em CET","Male","35-39","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/10 7:06:53 em CET","Male","25-29","Economics/Busniess","Gym","3-4","0-1 hours","No","Apperance"
"2018/03/10 7:37:32 em CET","Female","40+","IT/Tech/Engineering","Other","1-2","2-3 hours","Yes","Health"
"2018/03/10 9:05:04 em CET","Male","40+","IT/Tech/Engineering","Other","5+","0-1 hours","No","Health"
"2018/03/10 9:57:01 em CET","Male","20-24","Student/Academics","Mix of exercises","3-4","1-2 hours","Yes","Combination of above"
"2018/03/11 12:22:15 fm CET","Male","20-24","Student/Academics","Running","1-2","1-2 hours","No","None of above"
"2018/03/11 7:19:48 fm CET","Male","25-29","IT/Tech/Engineering","I don't workout","0","0-1 hours","No","None of above"
"2018/03/11 8:49:22 fm CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/11 10:47:58 fm CET","Female","35-39","Service/Restaurant","Mix of exercises","1-2","0-1 hours","No","Enjoyment"
"2018/03/11 1:01:49 em CET","Male","35-39","Student/Academics","Gym","1-2","1-2 hours","Yes","Combination of above"
"2018/03/11 1:28:51 em CET","Male","40+","Other","Mix of exercises","3-4","1-2 hours","No","Combination of above"
"2018/03/11 1:32:20 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/11 4:22:03 em CET","Male","40+","IT/Tech/Engineering","Running","1-2","0-1 hours","No","Health"
"2018/03/11 8:08:59 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Health"
"2018/03/11 9:49:00 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/11 9:51:12 em CET","Male","35-39","IT/Tech/Engineering","Crossfit","3-4","1-2 hours","No","Health"
"2018/03/12 8:29:48 fm CET","Female","40+","IT/Tech/Engineering","Fitness classes (e.g. spinning, yoga, bodypump)","1-2","0-1 hours","No","Combination of above"
"2018/03/12 11:21:30 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/12 11:33:41 fm CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","None of above"
"2018/03/12 11:34:43 fm CET","Other","40+","Other","Mix of exercises","5+","4+ hours","Yes","Combination of above"
"2018/03/12 12:21:37 em CET","Male","30-34","Student/Academics","Running","3-4","1-2 hours","No","Achievements"
"2018/03/12 3:08:02 em CET","Female","40+","Other","Fitness classes (e.g. spinning, yoga, bodypump)","3-4","0-1 hours","No","Health"
"2018/03/12 4:10:44 em CET","Male","25-29","IT/Tech/Engineering","Gym","5+","1-2 hours","No","Combination of above"
"2018/03/12 6:07:22 em CET","Male","40+","IT/Tech/Engineering","Mix of exercises","1-2","0-1 hours","No","Health"
"2018/03/12 7:14:16 em CET","Female","20-24","Student/Academics","Other","1-2","0-1 hours","No","Combination of above"
"2018/03/12 8:02:55 em CET","Male","35-39","IT/Tech/Engineering","Mix of exercises","1-2","0-1 hours","No","Combination of above"
"2018/03/12 11:05:33 em CET","Male","20-24","Student/Academics","Running","1-2","1-2 hours","Yes","Health"
"2018/03/13 8:13:30 fm CET","Female","40+","IT/Tech/Engineering","Mix of exercises","3-4","0-1 hours","No","Combination of above"
"2018/03/13 8:32:58 fm CET","Male","30-34","IT/Tech/Engineering","Gym","1-2","0-1 hours","No","Health"
"2018/03/13 10:30:05 fm CET","Male","20-24","Design/Architect","Mix of exercises","3-4","1-2 hours","No","Combination of above"
"2018/03/13 11:48:45 fm CET","Female","30-34","Student/Academics","Mix of exercises","3-4","0-1 hours","Yes","Combination of above"
"2018/03/13 1:47:33 em CET","Male","20-24","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/13 1:48:36 em CET","Male","20-24","Student/Academics","Mix of exercises","1-2","1-2 hours","No","Health"
"2018/03/13 3:20:14 em CET","Female","20-24","IT/Tech/Engineering","Gym","3-4","0-1 hours","No","Health"
"2018/03/13 9:33:00 em CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","1-2 hours","Yes","Health"
"2018/03/14 12:02:38 fm CET","Female","40+","IT/Tech/Engineering","Mix of exercises","1-2","1-2 hours","No","Combination of above"
"2018/03/14 12:10:35 em CET","Male","20-24","IT/Tech/Engineering","Gym","5+","1-2 hours","No","Apperance"
"2018/03/14 5:44:22 em CET","Male","25-29","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/15 8:14:47 fm CET","Male","25-29","Student/Academics","Gym","5+","0-1 hours","No","None of above"
"2018/03/15 8:42:47 fm CET","Male","40+","IT/Tech/Engineering","Other","3-4","0-1 hours","No","Combination of above"
"2018/03/15 9:34:14 fm CET","Male","40+","IT/Tech/Engineering","Mix of exercises","3-4","1-2 hours","No","Health"
"2018/03/16 11:19:51 fm CET","Female","40+","Economics/Busniess","Mix of exercises","3-4","1-2 hours","Yes","I don't workout"
"2018/03/16 1:03:21 em CET","Male","30-34","Student/Academics","Gym","3-4","1-2 hours","No","Health"
"2018/03/18 2:46:06 em CET","Male","15-19","Student/Academics","I don't workout","0","0-1 hours","No","I don't workout"
"2018/03/18 3:59:16 em CET","Male","15-19","Student/Academics","I don't workout","0","0-1 hours","Yes","I don't workout"
"2018/03/20 4:25:31 em CET","Female","25-29","IT/Tech/Engineering","Running","3-4","0-1 hours","Yes","Achievements"
"2018/03/21 8:34:14 fm CET","Female","40+","IT/Tech/Engineering","Running","1-2","0-1 hours","No","Achievements"
"2018/03/31 6:27:52 em CET","Male","40+","IT/Tech/Engineering","Other","3-4","0-1 hours","Yes","Combination of above"
"2018/04/06 9:20:50 fm CET","Male","20-24","Student/Academics","Gym","3-4","1-2 hours","Yes","Combination of above"
"2018/04/11 12:45:50 em CET","Male","20-24","IT/Tech/Engineering","Gym","3-4","0-1 hours","No","Health"
